title1,title2,title3,title4
0.51,0.55,0.5,0.98
0.12,0.71,0.35,0.58
0.99,0.42,0.76,0.29
0.28,0.65,0.29,0.51
0.09,0.37,0.41,0.03
0.74,0.6,0.65,0.14
0.73,0.94,0.94,0.52
0.53,0.88,0.08,0.35
0.11,0.05,0.69,0.07
0.74,0.37,0.49,0.72
0.69,0.2,0.7,0.86
0.26,0.25,0.37,0.5
0.11,0.55,0.65,0.11
0.2,0.7,0.71,0.1
0.09,0.55,0.23,0.4
0.92,0.19,0.8,0.71
0.97,0.86,0.6,0.48
0.37,0.24,0.15,0.51
0.5,0.15,0.08,0.9
0.09,0.8,0.94,0.77
0.73,0.52,0.52,0.7
0.69,0.47,0.43,0.91
0.21,0.03,0.66,0.54
0.57,0.88,0.59,0.91
0.56,0.46,0.3,0.6
0.55,0.59,0.26,0.29
0.05,0.81,0.96,0.49
0.77,0.99,0.94,0.75
0.26,0.98,0.28,0.13
0.28,0.71,0.04,0.24
0.83,0.5,0.78,0.01
0.41,0.61,0.22,1
0.28,0.6,0.37,0.44
0.67,0.95,0.84,0.9
0.29,0.36,0.17,0.44
0.16,0.99,0.17,0.36
0.15,0.38,0.04,0.45
0.18,0.23,0.02,0.2
0.39,0.15,0.32,0.3
0.78,0.79,0.29,0.52
0.72,0.65,0.6,0.97
0.54,0.96,0.4,0.27
0.63,0.28,0.91,0.09
0.25,0.14,0.74,0.69
0.03,0.56,0.01,0.94
0.05,0.67,0.15,0.49
0.62,0.43,0.6,0.72
0.88,0.88,0.12,0.25
0.33,0.16,0.11,0.74
0.48,0.79,0.52,0.7
0.6,0.53,0.2,0.54
0.67,0.26,0.95,0.36
0.37,0.94,0.01,0.43
0.76,0.23,0.95,0.55
0.67,0.46,0.43,0.65
0.84,0.99,0.74,0.42
0.54,0.18,0.16,0.98
0.54,0.29,0.59,0.65
0.07,0.34,0.55,0.71
0.9,0.9,0.54,0.43
0.7,0.58,0.99,0.71
0.02,0.98,0.51,0.17
0.82,0.58,0.42,0.87
0.19,0.49,0.59,0.02
0.02,0.68,0.86,0.11
0.63,0.18,0.7,0.41
0.35,0.6,0.83,0.32
0.01,0.66,0.52,0.23
0.76,0.66,0.34,0.24
0.74,0.42,0.64,0.3
0.49,0.77,0.88,0.63
0.61,0.84,0.27,0.86
0.55,0.93,0.22,0.97
0.34,0.02,0.51,0.59
0.81,0.97,0.44,0.57
0.47,0.92,0.51,0.66
0.75,0.47,0.52,0.85
0.33,0.76,0.93,0.92
0.47,0.33,0.62,0.33
0.19,0.2,0.1,0.3
0.65,0.82,0.51,0.84
0.27,0.45,0.58,0.11
0.1,0.48,0.89,0.79
0.38,0.98,0.5,0.46
0.64,0.86,0.53,0.56
0.82,0.12,0.12,0.31
0.65,0.38,0.47,0.28
0.66,0.55,0.03,0.03
0.89,0.41,0.55,0.72
0.94,0.84,0.2,0.74
0.71,0.91,0.49,0.73
0.12,0.91,0.16,0.85
0.72,0.45,0.93,0.63
0.58,0.34,0.72,0.15
0.96,0.87,0.53,0.51
0.97,0.26,0.2,0.92
0.12,0.34,0.91,0.72
0.48,0.34,0.51,0.44
0.16,0.92,0.95,0.41
0.54,0.36,0.6,0.1
0.05,0.86,0.23,0.89
0.16,0.85,0.93,0.16
0.55,0.53,0.59,0.26
0.23,0.04,0.17,0.19
0.66,0.96,0.54,0.48
0.85,0.25,0.19,0.06
0.19,0.37,0.98,0.4
0.11,0.48,0.84,0.04
0.27,0.63,0.98,0.08
0.74,0.4,0.77,0.84
0.29,0.4,0.57,0.62
0.82,0.25,0.43,0.25
0.05,0.06,0.44,0.39
0.96,0.32,0.41,0.62
0.9,0.94,0.33,0.32
0.51,0.32,0.61,0.32
0.17,1,0.46,0.96
