title1,title2,title3,title4
0.17,0.97,0.4,1
0.48,0.68,0.68,0.84
0.97,0.72,0.02,0.2
0.59,0.86,0.65,0.86
0.21,0.31,0.5,0.41
0.7,0.71,1,0.21
0.66,0.2,0.66,0.04
0.46,0.36,0.88,0.93
0.83,0.51,0.59,0.71
0.58,0.69,0.13,0.19
0.39,0.85,0.3,0.87
0.67,0.24,0.73,0.43
0.83,0.51,0.75,0.63
0.35,1,0.5,0.53
0.28,0.44,0.64,0.81
0.92,0.36,0.55,0.96
0.84,0.94,0.24,0.97
0.1,0.69,0.83,0.83
0.12,0.2,0.02,0.72
0.95,0.36,0.71,0.93
0.2,0.31,0.44,0.31
0.43,0.64,0.74,0.98
0.98,0.32,0.21,0.53
0.69,0.32,0.71,0.31
0.14,0.85,0.24,0.18
0.65,0.89,0.73,0.52
0.66,0.48,0.47,0.67
0.94,0.27,0.78,0.55
0.49,0.29,0.23,0.8
0.78,0.6,0.26,0.75
0.72,0.26,0.65,0.2
0.91,0.72,0.35,0.35
0.4,0.36,0.93,0.33
0.54,0.42,0.57,0.32
0.8,0.89,0.99,0.07
0.19,0.28,0.19,0.7
1,0.41,0.7,0.93
0.7,0.55,0.52,0.09
0.32,0.69,0.73,0.01
0.87,0.52,0.49,0.6
0.34,0.97,0.84,1
0.67,0.27,0.41,0.55
0.39,0.98,0.51,0.22
0.29,0.84,0.29,0.35
0.48,0.54,0.87,0.76
0.52,0.32,0.3,0.58
0.29,0.87,0.82,0.13
0.2,0.78,0.26,0.99
0.19,0.9,0.64,0.77
0.31,0.96,0.54,0.61
0.78,0.46,0.92,0.07
0.17,0.35,0.99,0.78
0.8,0.56,0.59,0.54
0.11,0.69,0.58,0.67
0.96,0.87,0.83,0.54
0.71,0.63,0.74,0.16
0.72,0.83,0.39,0.22
0.86,0.88,0.18,0.61
0.86,0.61,0.62,0.31
0.55,0.75,0.02,0.05
0.1,0.99,0.89,0.14
0.79,0.47,0.74,0.79
0.1,0.64,0.46,0.51
0.49,0.74,0.32,0.05
0.77,0.7,0.19,0.35
0.71,0.75,0.4,0.2
0.76,0.8,0.77,0.83
0.9,0.76,0.76,0.83
0.24,0.2,0.65,0.12
0.63,0.49,0.06,0.96
0.92,0.46,0.53,0.71
0.99,0.27,0.5,0.2
0.22,0.24,0.77,0.16
0.59,0.35,0.41,0.93
0.67,0.98,0.37,0.35
0.28,0.2,0.6,0.91
0.58,0.54,0.99,0.04
0.59,0.66,0.57,0.86
0.36,0.71,0.79,0.74
0.54,0.91,0.44,0.49
0.72,0.84,0.34,0.53
0.71,0.4,0.72,0.04
0.32,1,0.13,0.5
0.28,0.36,0.38,0.88
0.82,0.91,0.71,0.09
0.12,0.24,0.56,0.2
0.18,0.9,0.52,0.88
0.94,0.89,0.44,0.53
0.41,0.94,0.42,0.52
0.42,0.89,0.96,0.07
0.41,0.26,0.39,0.19
0.98,0.76,0.79,0.43
0.11,0.39,0.14,0.47
0.99,0.77,0.1,0.62
0.72,0.92,0.19,0.97
0.29,0.99,0.98,0.17
0.77,0.55,0.39,0.54
0.66,0.7,0.02,0.27
0.25,0.87,0.02,0.93
0.9,0.6,0.15,0.74
0.81,0.75,0.95,0.79
0.91,0.35,0.42,0.93
0.22,0.24,0.03,0.5
0.13,0.56,0.98,0.31
0.16,0.58,0.35,0.7
0.77,0.31,0.56,0.07
0.77,0.86,0.24,0.48
0.44,0.25,0.21,0.53
0.14,0.64,0.02,0.93
0.49,0.25,0.71,0.77
0.25,0.7,0.31,0.83
0.43,0.71,0.49,0.17
0.85,0.53,0.53,0.51
0.14,0.65,0.75,0.23
0.54,0.78,0.35,0.55
0.99,0.71,0.2,0.91
0.28,0.32,0.55,0.1
0.29,0.61,0.53,0.51
0.81,0.5,0.22,0.71
0.79,0.74,0.17,0.79
0.11,0.39,0.35,0.82
0.59,0.24,0.69,0.04
0.5,0.47,0.08,1
0.21,0.29,0.67,0.51
0.52,0.82,0.45,0.57
0.78,0.82,0.79,0.39
0.17,0.55,0.46,0.73
0.83,0.32,0.63,0.36
0.96,0.88,0.9,0.9
0.67,0.63,0.64,0.96
0.17,0.21,0.59,0.81
0.68,0.41,0.5,0.33
0.88,0.81,0.65,0.65
0.99,0.83,0.25,0.53
0.46,0.75,0.14,0.66
0.71,0.7,0.13,0.13
0.85,0.25,0.78,0.23
0.2,1,0.22,0.23
0.27,0.4,0.62,0.82
0.36,0.63,0.08,0.29
0.59,0.8,0.43,0.14
0.34,0.58,0.01,0.94
0.35,0.6,0.26,0.31
0.26,0.55,0.88,0.19
0.64,0.83,0.23,0.11
0.23,0.93,0.31,0.31
0.29,0.77,0.43,0.05
0.12,0.79,0.07,0.27
0.8,0.85,0.38,0.57
0.32,0.32,0.09,0.47
0.43,0.38,0.09,0.05
0.92,0.95,0.87,0.66
0.37,0.59,0.89,0.76
0.12,0.28,0.69,0.81
0.47,0.81,0.38,0.94
0.49,0.46,0.16,0.85
0.22,0.47,0.38,0.43
0.43,0.24,0.21,0.13
0.54,0.48,0.12,0.59
0.64,0.93,0.27,0.43
0.3,0.65,0.65,0.94
0.11,0.3,0.74,0.04
0.7,0.33,0.79,0.6
0.58,0.59,0.75,0.19
0.43,0.52,0.27,0.55
0.39,0.25,0.47,0.38
0.2,0.94,0.11,0.48
0.13,0.52,0.09,0.79
0.83,0.63,0.34,0.58
0.46,0.33,0.17,0.73
0.69,0.43,0.16,0.77
0.59,0.85,0.67,0.88
0.84,0.51,0.97,0.93
0.89,0.74,0.46,0.3
0.89,0.92,0.1,0.99
0.71,0.27,0.06,0.73
0.43,0.24,0.31,0.24
0.31,0.3,0.39,0.67
0.88,0.74,0.83,0.8
0.35,0.83,0.01,0.28
0.68,0.69,0.98,0.86
0.26,0.22,0.19,0.99
0.7,0.84,0.83,0.85
0.14,0.27,0.11,0.84
0.82,0.41,0.18,0.51
1,0.81,0.64,0.14
0.64,0.68,0.23,0.18
0.36,0.56,0.87,0.5
0.17,0.58,0.78,0.84
0.22,0.59,0.98,0.93
0.6,0.88,0.46,0.77
1,0.97,0.98,0.37
0.76,0.96,0.41,0.16
0.82,0.44,0.72,1
0.84,0.85,0.54,0.97
0.87,0.47,0.63,0.57
0.61,0.74,0.88,0.5
0.82,0.38,0.68,0.64
0.78,0.69,0.04,0.46
0.12,0.58,0.53,0.36
0.77,0.99,0.57,0.92
0.12,0.71,0.03,0.57
0.1,0.28,0.32,0.03
0.29,0.95,0.89,0.85
0.68,0.84,0.19,0.13
0.83,0.42,0.19,0.08
0.5,0.75,0.41,0.37
0.22,0.56,0.49,0.22
0.6,0.77,0.88,0.1
0.72,0.47,0.99,0.92
0.14,0.72,0.57,0.24
0.8,0.43,0.4,0.84
0.74,0.5,0.93,0.06
0.1,1,0.18,0.24
0.25,0.69,0.47,0.21
0.47,0.29,0.13,0.84
0.99,0.52,0.37,0.64
0.45,0.59,0.56,0.69
0.23,0.44,0.86,0.04
0.37,0.87,0.85,0.62
0.29,0.53,0.66,0.44
0.13,0.99,0.54,0.36
0.7,0.5,0.02,0.45
0.44,0.77,0.92,0.82
0.6,0.86,0.97,0.21
0.83,0.6,0.2,0.84
0.17,0.34,0.8,0.73
0.63,0.56,0.17,0.15
0.39,0.65,0.06,0.65
0.91,0.96,0.22,0.38
0.63,0.41,0.15,0.03
0.44,0.87,0.54,0.45
0.59,0.34,0.47,0.21
0.35,0.43,0.14,0.02
0.16,0.91,0.31,1
0.62,0.36,0.32,0.64
0.64,0.47,0.05,0.65
0.99,0.56,0.69,0.77
0.71,0.26,0.52,0.25
0.61,0.92,0.76,0.98
0.96,0.46,0.11,0.91
0.71,0.52,0.92,0.69
0.41,0.72,0.07,0.63
0.58,0.93,0.72,0.2
0.94,0.38,0.6,0.32
0.12,0.92,0.51,0.68
0.31,0.36,0.3,0.22
0.47,0.25,0.32,0.25
0.43,0.25,0.58,0.57
0.42,0.38,0.41,0.61
0.89,0.73,0.48,0.85
0.94,0.81,0.02,0.42
0.86,0.43,0.91,0.7
0.79,0.85,0.38,0.63
0.67,0.78,0.36,0.95
0.67,0.31,0.84,0.78
0.72,0.63,0.97,0.6
0.26,0.44,0.06,0.53
0.7,0.64,0.96,0.51
0.2,0.93,0.99,0.89
0.26,0.72,0.53,0.44
0.11,0.73,0.77,0.5
0.41,0.37,0.57,0.54
0.27,0.78,0.29,0.3
0.6,0.88,0.13,0.33
0.66,0.21,0.43,0.11
0.13,0.8,0.66,0.97
0.4,0.77,0.93,0.32
0.22,0.76,0.49,0.63
0.63,0.82,0.16,0.46
0.29,0.9,0.99,0.13
0.72,0.92,0.05,0.77
0.98,0.75,0.26,0.68
0.64,0.39,0.29,0.73
0.82,0.69,0.53,0.55
0.36,0.64,0.18,0.04
0.39,0.29,0.44,0.44
0.5,0.25,0.89,0.17
0.69,0.97,0.9,0.24
0.22,0.72,0.66,0.77
0.65,0.63,0.75,0.69
0.3,0.24,0.17,0.9
0.23,0.21,0.89,0.99
0.58,0.6,0.72,0.3
0.78,0.65,0.05,0.19
0.6,0.45,0.3,0.94
0.44,0.52,0.9,0.79
0.69,0.56,0.4,0.71
0.88,0.87,0.99,0.83
0.25,0.46,0.63,0.86
0.56,0.65,0.77,0.62
0.47,0.33,0.55,0.46
0.95,0.85,0.29,0.44
0.43,0.26,0.72,0.21
0.13,0.36,0.01,0.7
0.93,0.93,0.59,0.06
0.47,0.79,0.52,0.34
0.81,0.25,0.7,0.5
0.54,0.85,0.88,0.34
0.21,0.27,0.82,0.22
0.18,0.64,0.44,0.17
0.21,0.94,0.08,0.3
0.38,0.28,0.96,0.68
0.74,0.39,0.5,0.8
0.24,0.78,0.17,0.44
0.42,0.22,0.27,0.08
0.21,0.72,0.7,0.39
0.16,0.2,0.19,0.28
0.77,0.5,0.03,0.02
0.9,0.26,0.83,0.19
0.4,0.75,0.21,0.73
0.67,0.39,0.76,0.95
0.27,0.26,0.92,0.12
0.9,0.6,0.88,0.14
0.97,0.85,0.14,0.17
0.32,0.81,0.73,0.72
0.33,0.49,0.51,0.3
0.95,0.33,0.33,0.88
0.4,0.56,0.12,0.6
0.68,0.85,0.01,0.9
0.53,0.38,0.99,0.69
0.78,0.94,0.83,0.7
0.48,0.64,0.27,0.5
0.54,0.82,0.81,0.25
0.46,0.81,0.32,0.33
0.29,0.47,0.74,0.51
0.74,0.65,0.28,0.59
0.99,0.79,0.54,0.81
0.24,0.55,0.98,0.47
0.24,0.56,0.06,0.25
0.42,0.49,0.37,0.67
0.6,0.76,0.04,0.59
0.14,0.48,0.82,0.86
0.5,0.75,0.44,0.24
0.8,0.34,0.96,1
0.14,0.55,0.98,0.82
0.21,0.24,0.16,0.95
0.19,0.41,0.59,0.09
0.97,0.92,0.65,0.19
0.51,0.35,0.24,0.79
0.25,0.38,0.84,0.99
0.98,0.31,0.76,0.16
0.39,0.42,0.48,0.02
0.47,0.58,0.67,0.77
0.26,0.69,0.03,0.13
0.33,0.33,0.47,0.48
0.34,0.58,0.42,0.01
